https://cellphones.com.vn/,,,,,,"Cellphones.com.vn - Hệ thống bán lẻ điện thoại di động, smartphone, iPad, laptop, phụ kiện chính hãng, giá tốt nhất. Kèm theo nhiều khuyến mãi hấp dẫn. Mua trả góp 0%, bảo hành chính hãng, giao hàng tận nơi",,
https://cellphones.com.vn/,,,,,,"Cellphones.com.vn - Hệ thống bán lẻ điện thoại di động, smartphone, iPad, laptop, phụ kiện chính hãng, giá tốt nhất. Kèm theo nhiều khuyến mãi hấp dẫn. Mua trả góp 0%, bảo hành chính hãng, giao hàng tận nơi",,
https://cellphones.com.vn/mobile/apple/iphone-se.html,,,Home/ Điện thoại/ Apple,,,"Cellphones.com.vn - Hệ thống bán lẻ điện thoại di động, smartphone, iPad, laptop, phụ kiện chính hãng, giá tốt nhất. Kèm theo nhiều khuyến mãi hấp dẫn. Mua trả góp 0%, bảo hành chính hãng, giao hàng tận nơi",,
https://cellphones.com.vn/mobile/vsmart.html,,,Home/ Điện thoại,,,"Mua điện thoại Vsmart giá rẻ - Thu cũ đổi mới, bảo hành 12 tháng, đổi mới 30 ngày miễn phí, hỗ trợ trả góp 0%. Mua ngay đt Vsmart mới nhất tại đây.",,
https://cellphones.com.vn/mobile/apple/iphone-7-7-plus.html,,,Home/ Điện thoại/ Apple,,,"Mua điện thoại iPhone 7, iPhone 7 Plus chính hãng VN/A, giá giảm hơn 3 triệu, trả góp 0%, bảo hành 12 tháng tại Việt Nam, 1 đổi 1 30 ngày nếu lỗi.",,
https://cellphones.com.vn/mobile/asus.html,,,Home/ Điện thoại,,,"Mua điện thoại Asus giá rẻ - Thu cũ đổi mới, bảo hành 12 tháng, đổi mới 30 ngày miễn phí, hỗ trợ trả góp 0%. Mua ngay đt Asus mới nhất tại đây.",,
https://cellphones.com.vn/mobile/apple/iphone-x.html,,,Home/ Điện thoại/ Apple,,,"Mua điện thoại iPhone X (iPhone 10), iPhone XR chính hãng VN/A, giảm hơn 3 triệu, trả góp 0%, thu cũ lên đời đt iPhone X, XR mới giá tốt nhất.",,
https://cellphones.com.vn/mobile/xiaomi.html,,,Home/ Điện thoại,,,"Mua điện thoại Xiaomi giá rẻ - Thu cũ đổi mới, bảo hành 12 tháng, đổi mới 30 ngày miễn phí, hỗ trợ trả góp 0%. Mua ngay đt Xiaomi mới nhất tại đây.",,
https://cellphones.com.vn/mobile/apple/iphone-xs-max.html,,,Home/ Điện thoại/ Apple,,,"Mua điện thoại iPhone Xs, Xs Max chính hãng VN/A giá tốt nhất, giảm hơn 3 triệu, nhiều ưu đãi hấp dẫn, trả góp 0%, thu cũ lên đời iPhone Xs Max.",,
https://cellphones.com.vn/mobile/oppo.html,,,Home/ Điện thoại,,,"Mua điện thoại Oppo giá rẻ - Thu cũ đổi mới, bảo hành 12 tháng, đổi mới 30 ngày miễn phí, hỗ trợ trả góp 0%. Mua ngay đt Oppo mới nhất tại đây.",,
https://cellphones.com.vn/mobile/nokia.html,,,Home/ Điện thoại,,,"Mua điện thoại Nokia giá rẻ - Thu cũ đổi mới, bảo hành 12 tháng, đổi mới 30 ngày miễn phí, hỗ trợ trả góp 0%. Mua ngay đt Nokia mới nhất tại đây.",,
https://cellphones.com.vn/mobile/realme.html,,,Home/ Điện thoại,,,"Mua điện thoại Realme giá rẻ - Thu cũ đổi mới, bảo hành 12 tháng, đổi mới 30 ngày miễn phí, hỗ trợ trả góp 0%. Mua ngay đt Realme mới nhất tại đây.",,
https://cellphones.com.vn/huong-dan-huy-giao-dich-doi-tra,,,Home,,,"Hướng dẫn huỷ giao dịch, đổi trả hàng khi mua hàng online tại CellphoneS  
",,
https://cellphones.com.vn/phu-kien/camera/hanh-trinh.html,,,Home/ Phụ kiện/ Camera,,,"Mua ngay Camera hành trình chính hãng GoPro, Xiaomi, DJI GIÁ RẺ NHẤT, khuyến mãi hấp dẫn, chất lượng 4K, chống rung cực tốt, bảo hành 12 tháng, giao hàng nhanh chóng.",,
https://cellphones.com.vn/mobile/apple.html,,,Home/ Điện thoại,,,"Mua điện thoại Apple iPhone chính hãng VN/A giá rẻ nhất, bảo hành 12 tháng tại Việt Nam, 1 đổi 1 30 ngày, trả góp 0%, thu cũ đổi đt iPhone mới giá tốt nhất.",,
